Certificate Number,Certificate
482068-13745446,1  MANUFACTURING OPERATIONS 1.6  Quality control testing 1.6.4  Biological
2021/HPF/FR/079,1  MANUFACTURING OPERATIONS 1.2  Non-sterile products 1.2.1  Non-sterile products (processing operations for the following dosage forms) 1.2.1.7  Medicinal gases 1.2.2  Batch certification 1.5  Packaging 1.5.1  Primary Packaging 1.5.1.7  Medicinal gases 1.6  Quality control testing 1.6.3  Chemical/Physical
21MPP014HFR01,
BE/GMP/2021/018,
BE/GMP/2021/019,
BE/GMP/2021/056,1  MANUFACTURING OPERATIONS 1.1  Sterile products 1.1.1  Aseptically prepared (processing operations for the following dosage forms) 1.1.1.4  Small volume liquids 1.1.3  Batch certification 1.3  Biological medicinal products (list of product types) 1.3.1  Biological medicinal products (list of product types) 1.3.1.2  Immunological products 1.3.1.4  Gene therapy products 1.3.2  Batch Certification (list of product types) 1.3.2.2  Immunological products 1.3.2.4  Gene therapy products 1.4  Other products or manufacturing activity 1.4.1  Manufacture of 1.4.1.3  Other: Production of mRNA as API for clinical use only(en) 1.5  Packaging 1.5.2  Secondary packaging 1.6  Quality control testing 1.6.3  Chemical/Physical 1.6.4  Biological
F033/S4/MH/001/2022,1  MANUFACTURING OPERATIONS 1.2  Non-sterile products 1.2.1  Non-sterile products (processing operations for the following dosage forms) 1.2.1.7  Medicinal gases 1.2.2  Batch certification 1.6  Quality control testing 1.6.3  Chemical/Physical
F033/S6/MH/001/2022,1  MANUFACTURING OPERATIONS 1.2  Non-sterile products 1.2.1  Non-sterile products (processing operations for the following dosage forms) 1.2.1.7  Medicinal gases 1.2.2  Batch certification 1.6  Quality control testing 1.6.3  Chemical/Physical
IWSF.405.42.2021.IP.3 WTC/0426_03_01/142,1  MANUFACTURING OPERATIONS 1.1  Sterile products 1.1.3  Batch certification 1.2  Non-sterile products 1.2.2  Batch certification 1.4  Other products or manufacturing activity 1.4.3  Other: cold chain products storage and distribution(en) 2  IMPORTATION OF MEDICINAL PRODUCTS 2.2  Batch certification of imported medicinal products 2.2.1  Sterile products 2.2.1.1  Aseptically prepared 2.2.2  Non-sterile products 2.3  Other importation activities 2.3.1  Site of physical importation 2.3.2  Importation of intermediate which undergoes further processing
LT/01H/2021,2  IMPORTATION OF MEDICINAL PRODUCTS 2.3  Other importation activities 2.3.1  Site of physical importation
UP/I-530-10/21-03/02;381-13-08/338-21-11,
2021/HPF/FR/098,1  MANUFACTURING OPERATIONS 1.2  Non-sterile products 1.2.2  Batch certification 1.4  Other products or manufacturing activity 1.4.1  Manufacture of 1.4.1.4  Other: management of retained samples(en)
60059/4-8-2023,1  MANUFACTURING OPERATIONS 1.1  Sterile products 1.1.3  Batch certification 1.2  Non-sterile products 1.2.2  Batch certification 1.6  Quality control testing 1.6.3  Chemical/Physical
BE/GMP/2021/032,"1  MANUFACTURING OPERATIONS 1.3  Biological medicinal products (list of product types) 1.3.1  Biological medicinal products (list of product types) 1.3.1.4  Gene therapy products 1.3.1.5  Biotechnology products 1.3.1.8  Other: Nucleic acids (DNA plasmids), MCB and WCB(en) 1.3.2  Batch Certification (list of product types) 1.3.2.8  Other: Nucleic acids (DNA plasmids), MCB and WCB(en) 1.6  Quality control testing 1.6.2  Microbiological: non-sterility 1.6.3  Chemical/Physical 1.6.4  Biological"
