Certificate Number,Certificate
BE/GMP/2022/074,1  MANUFACTURING OPERATIONS 1.6  Quality control testing 1.6.2  Microbiological: non-sterility 1.6.3  Chemical/Physical 1.6.4  Biological
BG/GMP/2022/213,"1  MANUFACTURING OPERATIONS 1.2  Non-sterile products 1.2.1  Non-sterile products (processing operations for the following dosage forms) 1.2.1.1  Capsules, hard shell 1.2.1.5  Liquids for external use 1.2.1.8  Other solid dosage forms: sachet(en) 1.2.1.11  Semi-solids 1.2.1.13  Tablets 1.2.1.17  Other: inhalers(en) 1.5  Packaging 1.5.1  Primary Packaging 1.5.1.1  Capsules, hard shell 1.5.1.5  Liquids for external use 1.5.1.8  Other solid dosage forms: sachet(en) 1.5.1.11  Semi-solids 1.5.1.13  Tablets 1.5.1.17  Other non-sterile medicinal products: inhalers(en) 1.5.2  Secondary packaging 1.6  Quality control testing 1.6.2  Microbiological: non-sterility 1.6.3  Chemical/Physical"
DE_HE_01_GMP_2022_0169,1  MANUFACTURING OPERATIONS 1.4  Other products or manufacturing activity 1.4.1  Manufacture of 1.4.1.3  Other: Biological active starting materials: human plasma for fractionation(en)
13-Feb,
14-Feb,
15-Feb,
DE_HE_01_GMP_2022_0147,
FIMEA/2022/001286,1  MANUFACTURING OPERATIONS 1.1  Sterile products 1.1.1  Aseptically prepared (processing operations for the following dosage forms) 1.1.1.4  Small volume liquids 1.5  Packaging 1.5.2  Secondary packaging 1.6  Quality control testing 1.6.1  Microbiological: sterility 1.6.3  Chemical/Physical
OGYÉI/514-6/2022,1  MANUFACTURING OPERATIONS 1.2  Non-sterile products 1.2.1  Non-sterile products (processing operations for the following dosage forms) 1.2.1.13  Tablets 1.2.1.17  Other: Lozenges(en) 1.5  Packaging 1.5.1  Primary Packaging 1.5.1.13  Tablets 1.5.1.17  Other non-sterile medicinal products: Lozenges(en) 1.5.2  Secondary packaging 1.6  Quality control testing 1.6.2  Microbiological: non-sterility 1.6.3  Chemical/Physical
OGYÉI/496-6/2022,"1  MANUFACTURING OPERATIONS 1.1  Sterile products 1.1.1  Aseptically prepared (processing operations for the following dosage forms) 1.1.1.2  Lyophilisates Special Requirements               : 7  Other: Oncological(en) 1.2  Non-sterile products 1.2.1  Non-sterile products (processing operations for the following dosage forms) 1.2.1.1  Capsules, hard shell 1.2.1.2  Capsules, soft shell 1.2.1.6  Liquids for internal use 1.2.1.11  Semi-solids 1.2.1.13  Tablets 1.2.1.17  Other: Powder for oral solution(en) 1.5  Packaging 1.5.1  Primary Packaging 1.5.1.1  Capsules, hard shell 1.5.1.2  Capsules, soft shell 1.5.1.6  Liquids for internal use 1.5.1.11  Semi-solids 1.5.1.13  Tablets 1.5.1.17  Other non-sterile medicinal products: Powder for oral solution(en) 1.5.2  Secondary packaging 1.6  Quality control testing 1.6.1  Microbiological: sterility 1.6.2  Microbiological: non-sterility 1.6.3  Chemical/Physical"
OGYÉI/496-7/2022,"1  MANUFACTURING OPERATIONS 1.1  Sterile products 1.1.1  Aseptically prepared (processing operations for the following dosage forms) 1.1.1.2  Lyophilisates Special Requirements               : 7  Other: Oncological(en) 1.2  Non-sterile products 1.2.1  Non-sterile products (processing operations for the following dosage forms) 1.2.1.1  Capsules, hard shell 1.2.1.2  Capsules, soft shell 1.2.1.6  Liquids for internal use 1.2.1.11  Semi-solids 1.2.1.13  Tablets 1.2.1.17  Other: Powder for oral solution(en) 1.5  Packaging 1.5.1  Primary Packaging 1.5.1.1  Capsules, hard shell 1.5.1.2  Capsules, soft shell 1.5.1.6  Liquids for internal use 1.5.1.11  Semi-solids 1.5.1.13  Tablets 1.5.1.17  Other non-sterile medicinal products: Powder for oral solution(en) 1.5.2  Secondary packaging 1.6  Quality control testing 1.6.1  Microbiological: sterility 1.6.2  Microbiological: non-sterility 1.6.3  Chemical/Physical"
203/10,1  MANUFACTURING OPERATIONS 1.2  Non-sterile products 1.2.1  Non-sterile products (processing operations for the following dosage forms) 1.2.1.6  Liquids for internal use 1.2.1.13  Tablets 1.2.2  Batch certification 1.5  Packaging 1.5.1  Primary Packaging 1.5.1.6  Liquids for internal use 1.5.1.13  Tablets 1.5.2  Secondary packaging 1.6  Quality control testing 1.6.2  Microbiological: non-sterility 1.6.3  Chemical/Physical 2  IMPORTATION OF MEDICINAL PRODUCTS 2.2  Batch certification of imported medicinal products 2.2.1  Sterile products 2.2.1.1  Aseptically prepared 2.2.1.2  Terminally sterilised 2.2.2  Non-sterile products 2.2.3  Biological medicinal products 2.2.3.5  Biotechnology products 2.3  Other importation activities 2.3.1  Site of physical importation
DE_BY_05_GMP_2022_0057,1  MANUFACTURING OPERATIONS 1.3  Biological medicinal products (list of product types) 1.3.1  Biological medicinal products (list of product types) 1.3.1.4  Gene therapy products 1.6  Quality control testing 1.6.2  Microbiological: non-sterility 1.6.4  Biological
DE_HE_01_GMP_2022_0180,1  MANUFACTURING OPERATIONS 1.4  Other products or manufacturing activity 1.4.1  Manufacture of 1.4.1.3  Other: Biological active starting materials: human-plasma for fractionation(en)
DE_HE_01_GMP_2022_0163,1  MANUFACTURING OPERATIONS 1.1  Sterile products 1.1.1  Aseptically prepared (processing operations for the following dosage forms) 1.1.1.4  Small volume liquids 1.1.3  Batch certification 1.2  Non-sterile products 1.2.2  Batch certification 1.5  Packaging 1.5.1  Primary Packaging 1.5.1.6  Liquids for internal use 1.6  Quality control testing 1.6.1  Microbiological: sterility 1.6.3  Chemical/Physical 1.6.4  Biological
FT020/MH/001/2023,1  MANUFACTURING OPERATIONS 1.1  Sterile products 1.1.1  Aseptically prepared (processing operations for the following dosage forms) 1.1.1.2  Lyophilisates Special Requirements               : 1  B-lactam Antibiotics 1.1.1.6  Other: Dry powders for injection(en) Special Requirements               : 1  B-lactam Antibiotics 1.5  Packaging 1.5.1  Primary Packaging 1.5.1.8  Other solid dosage forms: Lyophilisates and dry powders for injection(en) Special Requirements               : 1  B-lactam Antibiotics 1.5.2  Secondary packaging 1.6  Quality control testing 1.6.1  Microbiological: sterility 1.6.2  Microbiological: non-sterility 1.6.3  Chemical/Physical
FT020/MH/002/2023,1  MANUFACTURING OPERATIONS 1.1  Sterile products 1.1.1  Aseptically prepared (processing operations for the following dosage forms) 1.1.1.2  Lyophilisates Special Requirements               : 1  B-lactam Antibiotics 1.1.1.6  Other: Dry powders for injection(en) Special Requirements               : 1  B-lactam Antibiotics 1.5  Packaging 1.5.2  Secondary packaging 1.6  Quality control testing 1.6.1  Microbiological: sterility 1.6.2  Microbiological: non-sterility 1.6.3  Chemical/Physical
FT020/SA/001/2023,
22-324585,1  MANUFACTURING OPERATIONS 1.1  Sterile products 1.1.1  Aseptically prepared (processing operations for the following dosage forms) 1.1.1.2  Lyophilisates 1.1.1.4  Small volume liquids 1.4  Other products or manufacturing activity 1.4.1  Manufacture of 1.4.1.3  Other: Biololgical active starting materials(en) 1.6  Quality control testing 1.6.1  Microbiological: sterility 1.6.2  Microbiological: non-sterility 1.6.3  Chemical/Physical 1.6.4  Biological
DE_HH_01_GMP_2022_0013,
IT/GMP/E/02/2022,1  MANUFACTURING OPERATIONS 1.2  Non-sterile products 1.2.1  Non-sterile products (processing operations for the following dosage forms) 1.2.1.13  Tablets 1.6  Quality control testing 1.6.2  Microbiological: non-sterility 1.6.3  Chemical/Physical
DE_BY_05_GMP_2022_0052,1  MANUFACTURING OPERATIONS 1.6  Quality control testing 1.6.3  Chemical/Physical 1.6.4  Biological
OGYÉI/29301-6/2022,
OGYÉI/21402-6/2022,"1  MANUFACTURING OPERATIONS 1.2  Non-sterile products 1.2.1  Non-sterile products (processing operations for the following dosage forms) 1.2.1.1  Capsules, hard shell 1.2.1.11  Semi-solids 1.2.1.13  Tablets 1.5  Packaging 1.5.1  Primary Packaging 1.5.1.1  Capsules, hard shell 1.5.1.11  Semi-solids 1.5.1.13  Tablets 1.5.2  Secondary packaging 1.6  Quality control testing 1.6.2  Microbiological: non-sterility 1.6.3  Chemical/Physical"
OGYÉI/39107-7/2022,
39/10,1  MANUFACTURING OPERATIONS 1.1  Sterile products 1.1.1  Aseptically prepared (processing operations for the following dosage forms) 1.1.1.4  Small volume liquids Special Requirements               : 7  Other: eye drops(en) 1.1.3  Batch certification 1.5  Packaging 1.5.2  Secondary packaging 1.6  Quality control testing 1.6.1  Microbiological: sterility 1.6.2  Microbiological: non-sterility 1.6.3  Chemical/Physical
IWSF.405.110.2022.IP.1 WTC/0614_03_01/249,1  MANUFACTURING OPERATIONS 1.1  Sterile products 1.1.1  Aseptically prepared (processing operations for the following dosage forms) 1.1.1.2  Lyophilisates 1.1.1.4  Small volume liquids 1.3  Biological medicinal products (list of product types) 1.3.1  Biological medicinal products (list of product types) 1.3.1.5  Biotechnology products 1.5  Packaging 1.5.2  Secondary packaging 1.6  Quality control testing 1.6.1  Microbiological: sterility 1.6.2  Microbiological: non-sterility 1.6.3  Chemical/Physical 1.6.4  Biological
IWSF.405.110.2022.IP.2 WTC/0614_03_02/250,
MT/034HM/2023,1  MANUFACTURING OPERATIONS 1.2  Non-sterile products 1.2.1  Non-sterile products (processing operations for the following dosage forms) 1.2.1.13  Tablets 1.5  Packaging 1.5.1  Primary Packaging 1.5.1.13  Tablets 1.5.2  Secondary packaging 1.6  Quality control testing 1.6.2  Microbiological: non-sterility 1.6.3  Chemical/Physical
MT/057HM/2022,"1  MANUFACTURING OPERATIONS 1.2  Non-sterile products 1.2.1  Non-sterile products (processing operations for the following dosage forms) 1.2.1.1  Capsules, hard shell 1.2.1.6  Liquids for internal use 1.2.1.8  Other solid dosage forms: oral powder in unit dose forms (sachets)(en) 1.2.1.13  Tablets 1.5  Packaging 1.5.1  Primary Packaging 1.5.1.1  Capsules, hard shell 1.5.1.6  Liquids for internal use 1.5.1.8  Other solid dosage forms: oral powder in unit dosage forms (sachets)(en) 1.5.1.13  Tablets 1.5.2  Secondary packaging 1.6  Quality control testing 1.6.2  Microbiological: non-sterility 1.6.3  Chemical/Physical"
NL/H 22/2042232 A,1  MANUFACTURING OPERATIONS 1.1  Sterile products 1.1.1  Aseptically prepared (processing operations for the following dosage forms) 1.1.1.4  Small volume liquids 1.3  Biological medicinal products (list of product types) 1.3.1  Biological medicinal products (list of product types) 1.3.1.4  Gene therapy products 1.5  Packaging 1.5.2  Secondary packaging 1.6  Quality control testing 1.6.1  Microbiological: sterility 1.6.2  Microbiological: non-sterility 1.6.3  Chemical/Physical 1.6.4  Biological
DE_HE_01_GMP_2022_0205,1  MANUFACTURING OPERATIONS 1.4  Other products or manufacturing activity 1.4.1  Manufacture of 1.4.1.3  Other: Biological active starting materials: human-plasma for fractionation(en)
BE/GMP/2022/063,1  MANUFACTURING OPERATIONS 1.1  Sterile products 1.1.1  Aseptically prepared (processing operations for the following dosage forms) 1.1.1.4  Small volume liquids 1.3  Biological medicinal products (list of product types) 1.3.1  Biological medicinal products (list of product types) 1.3.1.2  Immunological products 1.3.1.5  Biotechnology products 1.4  Other products or manufacturing activity 1.4.2  Sterilisation of active substance/ excipients/ finished product 1.4.2.1  Filtration 1.5  Packaging 1.5.2  Secondary packaging 1.6  Quality control testing 1.6.1  Microbiological: sterility 1.6.2  Microbiological: non-sterility 1.6.3  Chemical/Physical 1.6.4  Biological
DE_HE_01_GMP_2022_0091,1  MANUFACTURING OPERATIONS 1.4  Other products or manufacturing activity 1.4.1  Manufacture of 1.4.1.3  Other: Biological active starting materials: human plasma for fractionation(en)
IWSF.405.105.2022.IP.1 WTC/0598_01_01/242,
NL/HV 22/2042107,1  MANUFACTURING OPERATIONS 1.1  Sterile products 1.1.1  Aseptically prepared (processing operations for the following dosage forms) 1.1.1.2  Lyophilisates 1.1.2  Terminally Sterilised (processing operations for the following dosage forms) 1.1.2.3  Small volume liquids 1.2  Non-sterile products 1.2.1  Non-sterile products (processing operations for the following dosage forms) 1.2.1.5  Liquids for external use 1.5  Packaging 1.5.1  Primary Packaging 1.5.1.5  Liquids for external use 1.5.2  Secondary packaging 1.6  Quality control testing 1.6.1  Microbiological: sterility 1.6.2  Microbiological: non-sterility 1.6.3  Chemical/Physical
151/8,1  MANUFACTURING OPERATIONS 1.6  Quality control testing 1.6.1  Microbiological: sterility 1.6.2  Microbiological: non-sterility 1.6.3  Chemical/Physical
151/9,1  MANUFACTURING OPERATIONS 1.6  Quality control testing 1.6.1  Microbiological: sterility 1.6.2  Microbiological: non-sterility 1.6.3  Chemical/Physical
6.2.1-2022-041299,"1  MANUFACTURING OPERATIONS 1.2  Non-sterile products 1.2.1  Non-sterile products (processing operations for the following dosage forms) 1.2.1.1  Capsules, hard shell 1.2.1.13  Tablets 1.5  Packaging 1.5.1  Primary Packaging 1.5.1.1  Capsules, hard shell 1.5.1.13  Tablets 1.5.2  Secondary packaging 1.6  Quality control testing 1.6.2  Microbiological: non-sterility 1.6.3  Chemical/Physical"
DE_HE_01_GMP_2022_0092,1  MANUFACTURING OPERATIONS 1.4  Other products or manufacturing activity 1.4.1  Manufacture of 1.4.1.3  Other: Biological active starting materials: human plasma for fractionation(en)
DE_HE_01_GMP_2022_0114,1  MANUFACTURING OPERATIONS 1.4  Other products or manufacturing activity 1.4.3  Other: Manufacturing of CBD Isolate (crystals)(en)
OGYÉI/3315-6/2022,1  MANUFACTURING OPERATIONS 1.1  Sterile products 1.1.1  Aseptically prepared (processing operations for the following dosage forms) 1.1.1.2  Lyophilisates Special Requirements               : 7  Other: Oncological(en) 1.1.1.4  Small volume liquids Special Requirements               : 7  Other: Oncological(en) 1.1.2  Terminally Sterilised (processing operations for the following dosage forms) 1.1.2.3  Small volume liquids Special Requirements               : 7  Other: Oncological(en) 1.5  Packaging 1.5.2  Secondary packaging 1.6  Quality control testing 1.6.1  Microbiological: sterility 1.6.2  Microbiological: non-sterility 1.6.3  Chemical/Physical
6.2.1-2022-021720,1  MANUFACTURING OPERATIONS 1.2  Non-sterile products 1.2.1  Non-sterile products (processing operations for the following dosage forms) 1.2.1.13  Tablets 1.5  Packaging 1.5.1  Primary Packaging 1.5.1.13  Tablets 1.5.2  Secondary packaging 1.6  Quality control testing 1.6.2  Microbiological: non-sterility 1.6.3  Chemical/Physical
DE_HE_01_GMP_2022_0118,1  MANUFACTURING OPERATIONS 1.4  Other products or manufacturing activity 1.4.1  Manufacture of 1.4.1.3  Other: Biological active starting materials: human-plasma for fractionation(en)
DK H 00114519,1  MANUFACTURING OPERATIONS 1.5  Packaging 1.5.2  Secondary packaging 1.6  Quality control testing 1.6.1  Microbiological: sterility 1.6.2  Microbiological: non-sterility 1.6.3  Chemical/Physical
DK H 10000550,1  MANUFACTURING OPERATIONS 1.1  Sterile products 1.1.1  Aseptically prepared (processing operations for the following dosage forms) 1.1.1.2  Lyophilisates 1.1.1.4  Small volume liquids 1.1.2  Terminally Sterilised (processing operations for the following dosage forms) 1.1.2.3  Small volume liquids 1.3  Biological medicinal products (list of product types) 1.3.1  Biological medicinal products (list of product types) 1.3.1.6  Human or animal extracted products Special Requirements               : 7  Other: Heparin formulation and filling(en) 1.5  Packaging 1.5.2  Secondary packaging 1.6  Quality control testing 1.6.1  Microbiological: sterility 1.6.2  Microbiological: non-sterility 1.6.3  Chemical/Physical
OGYÉI/25631-6/2022,"1  MANUFACTURING OPERATIONS 1.2  Non-sterile products 1.2.1  Non-sterile products (processing operations for the following dosage forms) 1.2.1.1  Capsules, hard shell 1.2.1.6  Liquids for internal use 1.2.1.8  Other solid dosage forms: Sachet(en) 1.2.1.13  Tablets 1.5  Packaging 1.5.1  Primary Packaging 1.5.1.1  Capsules, hard shell 1.5.1.6  Liquids for internal use 1.5.1.8  Other solid dosage forms: Sachet(en) 1.5.1.13  Tablets 1.5.2  Secondary packaging 1.6  Quality control testing 1.6.2  Microbiological: non-sterility 1.6.3  Chemical/Physical"
OGYÉI/25840-4/2022,
32122,1  MANUFACTURING OPERATIONS 1.1  Sterile products 1.1.1  Aseptically prepared (processing operations for the following dosage forms) 1.1.1.4  Small volume liquids 1.3  Biological medicinal products (list of product types) 1.3.1  Biological medicinal products (list of product types) 1.3.1.4  Gene therapy products 1.5  Packaging 1.5.2  Secondary packaging 1.6  Quality control testing 1.6.2  Microbiological: non-sterility 1.6.3  Chemical/Physical 1.6.4  Biological
32122 (2),1  MANUFACTURING OPERATIONS 1.4  Other products or manufacturing activity 1.4.3  Other: Storage(en)
DE_HE_01_GMP_2022_0089,1  MANUFACTURING OPERATIONS 1.4  Other products or manufacturing activity 1.4.1  Manufacture of 1.4.1.3  Other: Biological active starting materials: human plasma for fractionation(en)
530-10/22-05/02; 381-13-08/337-22-13,"1  MANUFACTURING OPERATIONS 1.2  Non-sterile products 1.2.1  Non-sterile products (processing operations for the following dosage forms) 1.2.1.8  Other solid dosage forms: Inhalation powder, hard capsule(en) 1.5  Packaging 1.5.1  Primary Packaging 1.5.1.8  Other solid dosage forms: Inhalation powder, hard capsule(en) 1.5.2  Secondary packaging 1.6  Quality control testing 1.6.2  Microbiological: non-sterility 1.6.3  Chemical/Physical"
SK/013V/2022,"1  MANUFACTURING OPERATIONS 1.1  Sterile products 1.1.1  Aseptically prepared (processing operations for the following dosage forms) 1.1.1.2  Lyophilisates 1.1.1.4  Small volume liquids 1.1.2  Terminally Sterilised (processing operations for the following dosage forms) 1.1.2.3  Small volume liquids 1.2  Non-sterile products 1.2.1  Non-sterile products (processing operations for the following dosage forms) 1.2.1.1  Capsules, hard shell 1.2.1.13  Tablets 1.5  Packaging 1.5.1  Primary Packaging 1.5.1.1  Capsules, hard shell 1.5.1.13  Tablets 1.5.2  Secondary packaging 1.6  Quality control testing 1.6.1  Microbiological: sterility 1.6.2  Microbiological: non-sterility 1.6.3  Chemical/Physical"
MT/031HM/2022,"1  MANUFACTURING OPERATIONS 1.2  Non-sterile products 1.2.1  Non-sterile products (processing operations for the following dosage forms) 1.2.1.1  Capsules, hard shell 1.2.1.13  Tablets 1.5  Packaging 1.5.1  Primary Packaging 1.5.1.1  Capsules, hard shell 1.5.1.13  Tablets 1.5.2  Secondary packaging 1.6  Quality control testing 1.6.2  Microbiological: non-sterility 1.6.3  Chemical/Physical"
